instrument_token,tradingsymbol,name,expiry,strike,lot_size,instrument_type
12442370,NIFTY2270714000CE,NIFTY,2022-07-07,14000.0,50,CE
12442626,NIFTY2270714000PE,NIFTY,2022-07-07,14000.0,50,PE
12442882,NIFTY2270714050CE,NIFTY,2022-07-07,14050.0,50,CE
12443138,NIFTY2270714050PE,NIFTY,2022-07-07,14050.0,50,PE
12443906,NIFTY2270714100CE,NIFTY,2022-07-07,14100.0,50,CE
12444162,NIFTY2270714100PE,NIFTY,2022-07-07,14100.0,50,PE
12445954,NIFTY2270714150CE,NIFTY,2022-07-07,14150.0,50,CE
12446466,NIFTY2270714150PE,NIFTY,2022-07-07,14150.0,50,PE
9796098,NIFTY2270714200CE,NIFTY,2022-07-07,14200.0,50,CE
9796354,NIFTY2270714200PE,NIFTY,2022-07-07,14200.0,50,PE
11494914,NIFTY2270714250CE,NIFTY,2022-07-07,14250.0,50,CE
11495170,NIFTY2270714250PE,NIFTY,2022-07-07,14250.0,50,PE
13989890,NIFTY2270714300CE,NIFTY,2022-07-07,14300.0,50,CE
13990146,NIFTY2270714300PE,NIFTY,2022-07-07,14300.0,50,PE
13990402,NIFTY2270714350CE,NIFTY,2022-07-07,14350.0,50,CE
13990658,NIFTY2270714350PE,NIFTY,2022-07-07,14350.0,50,PE
13990914,NIFTY2270714400CE,NIFTY,2022-07-07,14400.0,50,CE
13993986,NIFTY2270714400PE,NIFTY,2022-07-07,14400.0,50,PE
13994242,NIFTY2270714450CE,NIFTY,2022-07-07,14450.0,50,CE
14006530,NIFTY2270714450PE,NIFTY,2022-07-07,14450.0,50,PE
14006786,NIFTY2270714500CE,NIFTY,2022-07-07,14500.0,50,CE
14007042,NIFTY2270714500PE,NIFTY,2022-07-07,14500.0,50,PE
10430722,BANKNIFTY2270734000CE,BANKNIFTY,2022-07-07,34000.0,25,CE
10430978,BANKNIFTY2270734000PE,BANKNIFTY,2022-07-07,34000.0,25,PE
256265,50NIFTY,50NIFTY,,,0,Index
260105,BNIFTY,BNIFTY,,,0,Index
12477442,50NIFTYFUT,50NIFTYFUT,,,0,Index
12476930,BNIFTYFUT,BNIFTYFUT,,,0,Index
264969,VIX,VIX,,,0,Index
