instrument_token,tradingsymbol,name,expiry,strike,lot_size,instrument_type
9882370,NIFTY22JUN15300CE,NIFTY,2022-06-30,15300.0,50,CE
9882626,NIFTY22JUN15300PE,NIFTY,2022-06-30,15300.0,50,PE
9882882,NIFTY22JUN15350CE,NIFTY,2022-06-30,15350.0,50,CE
9883138,NIFTY22JUN15350PE,NIFTY,2022-06-30,15350.0,50,PE
9884930,NIFTY22JUN15400CE,NIFTY,2022-06-30,15400.0,50,CE
9885186,NIFTY22JUN15400PE,NIFTY,2022-06-30,15400.0,50,PE
12721922,NIFTY22JUN15450CE,NIFTY,2022-06-30,15450.0,50,CE
12722178,NIFTY22JUN15450PE,NIFTY,2022-06-30,15450.0,50,PE
11675394,NIFTY22JUN15500CE,NIFTY,2022-06-30,15500.0,50,CE
11675650,NIFTY22JUN15500PE,NIFTY,2022-06-30,15500.0,50,PE
12722434,NIFTY22JUN15550CE,NIFTY,2022-06-30,15550.0,50,CE
12722690,NIFTY22JUN15550PE,NIFTY,2022-06-30,15550.0,50,PE
12722946,NIFTY22JUN15600CE,NIFTY,2022-06-30,15600.0,50,CE
12723202,NIFTY22JUN15600PE,NIFTY,2022-06-30,15600.0,50,PE
11216130,NIFTY22JUN15650CE,NIFTY,2022-06-30,15650.0,50,CE
11217154,NIFTY22JUN15650PE,NIFTY,2022-06-30,15650.0,50,PE
11217410,NIFTY22JUN15700CE,NIFTY,2022-06-30,15700.0,50,CE
11217666,NIFTY22JUN15700PE,NIFTY,2022-06-30,15700.0,50,PE
11220226,NIFTY22JUN15750CE,NIFTY,2022-06-30,15750.0,50,CE
11220994,NIFTY22JUN15750PE,NIFTY,2022-06-30,15750.0,50,PE
11224066,NIFTY22JUN15800CE,NIFTY,2022-06-30,15800.0,50,CE
11224322,NIFTY22JUN15800PE,NIFTY,2022-06-30,15800.0,50,PE
11225858,NIFTY22JUN15850CE,NIFTY,2022-06-30,15850.0,50,CE
11226370,NIFTY22JUN15850PE,NIFTY,2022-06-30,15850.0,50,PE
